no_below,no_above,idf,bool,norm,C,score
20,0.3,False,False,l2,0.01,0.753636952299
20,0.3,False,False,l2,0.1,0.782283112794
20,0.3,False,False,l2,1.0,0.784272230922
20,0.3,False,False,l2,10.0,0.766360751351
20,0.3,False,True,None,0.001,0.78494109464
20,0.3,False,True,None,0.01,0.76409605879
20,0.3,False,True,None,0.1,0.744681795976
20,0.3,False,True,None,1.0,0.720421245421
20,0.3,False,True,None,10.0,0.711787354456
20,0.5,True,False,None,0.001,0.801177104489
20,0.5,True,False,None,0.01,0.792142797564
20,0.5,True,False,None,0.1,0.787047523174
20,0.5,True,False,None,1.0,0.78537547748
20,0.5,True,False,None,10.0,0.78524053396
20,0.5,True,False,l2,0.001,0.787706414229
20,0.5,True,False,l2,0.01,0.801434708262
20,0.5,True,False,l2,0.1,0.823582729071
20,0.5,True,False,l2,1.0,0.816578773896
20,0.5,True,False,l2,10.0,0.799453280318
20,0.5,False,False,None,0.001,0.794499682674
20,0.5,False,False,None,0.01,0.774708356824
20,0.5,False,False,None,0.1,0.757241257506
20,0.5,False,False,None,1.0,0.73915202962
20,0.5,False,False,None,10.0,0.734142681762
20,0.5,False,False,l2,0.001,0.762180293501
20,0.5,False,False,l2,0.01,0.777723056718
20,0.5,False,False,l2,0.1,0.800756050458
20,0.5,False,False,l2,1.0,0.799682897317
20,0.5,False,False,l2,10.0,0.785846985307
20,0.5,False,True,None,0.001,0.807007176024
20,0.5,False,True,None,0.01,0.791613506847
20,0.5,False,True,None,0.1,0.774717911028
20,0.5,False,True,None,1.0,0.760667576732
20,0.5,False,True,None,10.0,0.757850910218
20,0.7,True,False,None,0.001,0.80541258509
20,0.7,True,False,None,0.01,0.796675992817
20,0.7,True,False,None,0.1,0.791540785498
20,0.7,True,False,None,1.0,0.790424191516
20,0.7,True,False,None,10.0,0.790240624869
20,0.7,True,False,l2,0.001,0.785909946927
20,0.7,True,False,l2,0.01,0.801656003011
20,0.7,True,False,l2,0.1,0.825520294592
20,0.7,True,False,l2,1.0,0.820369149637
20,0.7,True,False,l2,10.0,0.80194562235
20,0.7,False,False,None,0.001,0.80262273033
20,0.7,False,False,None,0.01,0.782863799129
20,0.7,False,False,None,0.1,0.763207671667
20,0.7,False,False,None,1.0,0.744358187398
20,0.7,False,False,None,10.0,0.738946698778
20,0.7,False,False,l2,0.001,0.740193537239
20,0.7,False,False,l2,0.01,0.762998030919
20,0.7,False,False,l2,0.1,0.797120635446
20,0.7,False,False,l2,1.0,0.807403074866
20,0.7,False,False,l2,10.0,0.79348286077
20,0.7,False,True,None,0.001,0.806634990667
20,0.7,False,True,None,0.01,0.794722151738
20,0.7,False,True,None,0.1,0.777009321706
20,0.7,False,True,None,1.0,0.762705923589
20,0.7,False,True,None,10.0,0.759410081444
